Temperature_c,Humidity,Wind_Speed_kmh,Pressure_millibars,Rain,Description
-0.555555556,0.92,11.27,1021.6,0,Cold
21.11111111,0.73,20.93,1017,1,Warm
16.6,0.97,5.9731,1013.99,1,Normal
1.6,0.82,3.22,1031.59,1,Cold
2.194444444,0.6,10.8836,1020.88,1,Cold
27.53888889,0.32,21.4613,1015.33,1,Warm
19.97777778,0.84,7.9695,1009.04,1,Warm
11.11111111,0.86,14.49,1009.6,1,Normal
8.405555556,0.73,14.007,1018.39,1,Normal
1.7,0.81,6.44,1003.89,1,Cold
-2.222222222,0.88,14.007,1021.28,0,Cold
21.9,0.6,1.4168,1019.52,1,Warm
17.10555556,0.87,11.0285,1015.92,1,Normal
17.77222222,0.73,4.0733,1013.06,1,Normal
24.95,0.39,7.6636,1025.59,1,Warm
-2.711111111,0.92,3.22,1024.3,0,Cold
18.88888889,0.78,4.83,1018.76,1,Warm
4.327777778,0.82,20.3987,1009,1,Cold
23.88888889,0.54,9.3219,1013.24,1,Warm
-2.222222222,0.68,12.3809,1019.48,0,Cold
8.972222222,0.78,23.6831,1022.92,1,Normal
21.2,0.35,11.27,1018.01,1,Warm
7.761111111,0.83,1.7549,1014.18,1,Normal
16.03888889,0.58,26.4684,1013.71,1,Normal
25.99444444,0.4,15.0213,1011.3,1,Warm
17.80555556,0.73,12.5097,1012.96,1,Normal
0.066666667,0.92,9.1126,1036.65,1,Cold
12.77777778,0.9,10.7548,1009.98,1,Normal
5.994444444,0.86,3.1878,1012.82,1,Normal
-4.372222222,0.9,11.27,1008.54,0,Cold
14.97777778,0.93,3.22,1015.81,1,Normal
12.77777778,0.96,9.66,1012.53,1,Normal
12.06111111,0.81,20.0767,1022.6,1,Normal
15,0.75,3.22,1023.4,1,Normal
22.73333333,0.38,19.1429,1006.44,1,Warm
12.54444444,0.56,10.2074,1015.94,1,Normal
20.81111111,0.74,11.0446,1007.3,1,Warm
22.6,0.74,11.27,1014.48,1,Warm
13.66111111,0.74,24.6169,1008.34,1,Normal
23.91111111,0.29,17.0821,1017.31,1,Warm
2.572222222,0.96,7.6958,1032.17,1,Cold
21.11111111,0.73,9.66,1014.9,1,Warm
4.983333333,0.86,20.6885,1018.23,1,Normal
27.10555556,0.65,20.5275,1016.46,1,Warm
7.222222222,0.83,14.49,1002.7,1,Normal
25.00555556,0.68,11.2056,1015.8,1,Warm
16.13333333,0.99,3.6386,1014.85,1,Normal
11.38888889,0.84,3.2361,1027.12,1,Normal
2.294444444,0.78,9.1287,1017.82,1,Cold
9.583333333,0.96,26.4523,992.24,1,Normal
9.05,0.61,44.6292,1019.96,1,Normal
4.977777778,0.87,10.6904,1011.08,1,Normal
12.21111111,0.95,1.7388,1030.02,1,Normal
-3.333333333,0.71,6.44,1032.8,0,Cold
17.82222222,0.86,10.3845,1017.52,1,Normal
29.82777778,0.47,8.0339,1015.5,1,Warm
12.78888889,0.78,34.6955,993.93,1,Normal
14.95,0.51,14.1197,1006.26,1,Normal
15.83333333,0.49,11.6725,1009.59,1,Normal
19.96666667,0.72,21.9443,1017.13,1,Warm
17.45,0.85,16.744,1013.39,1,Normal
6.694444444,0.93,13.9587,1019.68,1,Normal
10,0.86,16.1,1009.3,1,Normal
24,0.37,6.6332,1009.93,1,Warm
14.00555556,0.91,7.567,1019.15,1,Normal
27.61111111,0.37,9.1448,1010.72,1,Warm
15.06111111,0.6,8.1305,1017.55,1,Normal
17.28333333,0.66,3.9606,1012.64,1,Normal
-2.2,0.87,5.4096,1002.38,0,Cold
16.18333333,0.7,7.406,1018.18,1,Normal
15.05,0.64,7.889,1019.1,1,Normal
6.088888889,0.65,34.6311,1009.67,1,Normal
8.627777778,0.63,24.6652,1018.97,1,Normal
18,0.92,6.44,1017.18,1,Normal
18.75,0.85,22.0892,1011.16,1,Normal
12.06666667,0.59,3.0912,1017.25,1,Normal
17.11666667,0.31,12.075,1026.32,1,Normal
10,0.83,1.61,1018.8,1,Normal
15.62222222,0.93,6.2951,1016.47,1,Normal
-2.877777778,0.48,20.8495,1022.32,0,Cold
7.105555556,1,12.4292,1002.93,1,Normal
22.57777778,0.72,7.728,1017.96,1,Warm
27.22222222,0.39,11.27,1012.3,1,Warm
0.1,0.82,7.0196,1023.57,1,Cold
2.838888889,0.77,13.9748,1018.87,1,Cold
27.22222222,0.29,3.22,1013.7,1,Warm
14.82222222,0.87,3.3166,1021.99,1,Normal
7.316666667,0.77,32.8118,1016.11,1,Normal
14.22777778,0.93,3.2844,1012.18,1,Normal
9.383333333,0.75,13.7977,1019.07,1,Normal
29.83888889,0.41,20.2377,1011.92,1,Warm
6.627777778,0.75,3.1556,1016.09,1,Normal
6.016666667,0.9,13.7816,1015.08,1,Normal
1.738888889,0.9,6.4078,1025.67,1,Cold
7.105555556,0.87,10.8997,1017.76,1,Normal
19.82777778,0.46,11.4471,1007.18,1,Warm
15.83333333,0.64,16.3093,1023.6,1,Normal
17.57222222,0.85,10.626,1018.12,1,Normal
22.55,0.85,5.0554,1015.64,1,Warm
29.95,0.44,16.3093,1020.52,1,Warm
12.71111111,0.9,17.6939,1015.02,1,Normal
-1.127777778,0.88,0.5152,1013.14,0,Cold
0,0.92,9.66,1022.2,0,Cold
16.15555556,1,1.6422,1018.87,1,Normal
6.666666667,0.89,17.71,1021.5,1,Normal
7.266666667,0.71,13.1537,1008.44,1,Normal
7.777777778,0.83,16.1,1013.5,1,Normal
2.144444444,0.8,16.9372,1030.45,1,Cold
17.8,0.35,4.4919,1023.39,1,Normal
0.094444444,1,4.8139,1008.86,1,Cold
32.71111111,0.28,9.6278,1022.44,1,Warm
-0.3,0.73,5.2486,1024.59,0,Cold
22.72777778,0.29,12.7995,1015.78,1,Warm
21.08888889,0.63,11.2056,1010.03,1,Warm
23.81666667,0.34,12.558,1019.31,1,Warm
-2.272222222,0.95,6.4722,1016.22,0,Cold
19.92777778,0.69,25.0033,1008.43,1,Warm
-7.938888889,0.71,10.5938,1028.07,0,Cold
6.144444444,0.99,1.0626,1013.21,1,Normal
35.02222222,0.2,2.7209,1016.78,1,Warm
1.111111111,0.92,2.9624,1000.87,1,Cold
8.777777778,0.88,12.2199,1028.52,1,Normal
5.438888889,0.86,10.7387,1012.9,1,Normal
26.01666667,0.34,0.4025,1011.2,1,Warm
18.27222222,0.92,5.3452,1013.72,1,Normal
27.23888889,0.53,6.2951,1008.26,1,Warm
-1.077777778,1,9.4024,1033.92,0,Cold
4.283333333,0.96,3.2039,1023.64,1,Cold
4.677777778,0.94,1.2719,1025.11,1,Normal
9.983333333,0.73,20.5597,1008.8,1,Normal
24.97222222,0.46,4.6046,1012.48,1,Warm
14.72777778,0.68,23.8924,1024.88,1,Normal
5.016666667,0.82,12.1877,1015.58,1,Normal
15.15,0.62,11.1412,1019.53,1,Normal
10.70555556,0.76,1.4329,1023.26,1,Normal
-4.827777778,0.8,8.4203,1019.96,0,Cold
26.15,0.65,4.4758,1011,1,Warm
-2.755555556,0.93,9.3219,1022.69,0,Cold
-1.111111111,0.69,11.27,1032.6,0,Cold
17.73333333,0.78,13.9909,1017.06,1,Normal
8.861111111,0.93,5.0393,1014.12,1,Normal
12.22222222,0.52,17.71,1018.4,1,Normal
2.105555556,0.92,15.3433,1010.25,1,Cold
10.38888889,0.87,19.9318,1002.94,1,Normal
2.266666667,0.8,17.1626,1008.72,1,Cold
2.222222222,0.89,3.22,1017.3,1,Cold
8.194444444,0.66,6.2951,1005.41,1,Normal
2.35,0.72,14.1036,0,1,Cold
16.04444444,0.44,12.9605,1016.72,1,Normal
22.17222222,0.48,7.6314,1017.85,1,Warm
30.09444444,0.37,9.3541,1015.79,1,Warm
10.01666667,0.86,14.5544,1019.98,1,Normal
33.95555556,0.25,7.1967,1013.18,1,Warm
14.06111111,0.63,21.9443,1007.15,1,Normal
29.86111111,0.48,10.8836,1017.04,1,Warm
18.88888889,0.61,17.71,1013.9,1,Warm
8.838888889,0.77,3.6386,1017.93,1,Normal
8.744444444,0.88,3.6547,1027.48,1,Normal
13.88888889,0.31,9.66,1031.4,1,Normal
3.772222222,0.83,20.5597,1013.33,1,Cold
17.55555556,0.57,8.0017,1011.76,1,Normal
-1.427777778,0.88,3.2683,1023.86,0,Cold
21.51666667,0.65,4.2343,1021.55,1,Warm
0.327777778,0.83,3.059,1026.39,1,Cold
11.07222222,0.77,9.5634,1026.78,1,Normal
27.82777778,0.38,15.3272,1020.69,1,Warm
16.6,0.9,0,1023.21,1,Normal
15.62222222,0.84,3.1556,1016.36,1,Normal
26.12777778,0.58,13.2825,1012.91,1,Warm
21.14444444,0.52,17.9032,1013.16,1,Warm
28.90555556,0.33,7.245,1016.26,1,Warm
17.13333333,0.63,21.6706,1021.4,1,Normal
12.77777778,0.71,20.9783,1017.38,1,Normal
30.63888889,0.29,9.4668,1018.18,1,Warm
